product_id,product_name,description,user_id,cost,unit
E5F6G7H8,Bell Pepper,Colorful bell peppers with a crisp texture and mild flavor.,550e8400-e29b-41d4-a716-446655440001,2.99,each
M3N4O5P6,Carrot,Crunchy orange carrots great for snacking or cooking.,550e8400-e29b-41d4-a716-446655440001,1.49,lb
U1V2W3X4,Cilantro,Fresh cilantro herbs perfect for seasoning dishes.,550e8400-e29b-41d4-a716-446655440001,0.99,each
C9D0E1F2,Corn,Fresh sweet corn picked at peak ripeness for grilling or boiling.,550e8400-e29b-41d4-a716-446655440002,3.49,each
K7L8M9N0,Cucumber,Crisp cucumbers perfect for salads and sandwiches.,550e8400-e29b-41d4-a716-446655440002,1.99,each
S5T6U7V8,Eggs,Fresh farm eggs with rich golden yolks.,550e8400-e29b-41d4-a716-446655440002,4.99,each
A3B4C5D6,Fennel,Fresh fennel with a mild anise flavor for cooking.,550e8400-e29b-41d4-a716-446655440003,3.99,lb
I1J2K3L4,Granny Smith Apple,Crisp green apples ideal for snacking or baking pies.,550e8400-e29b-41d4-a716-446655440003,2.49,lb
Q9R0S1T2,Grape Tomato,Small sweet grape tomatoes perfect for snacking.,550e8400-e29b-41d4-a716-446655440003,2.99,lb
Y7Z8A9B0,Jalapeno,Spicy jalapeno peppers to add heat to your dishes.,550e8400-e29b-41d4-a716-446655440003,1.79,lb
G5H6I7J8,Kale,Nutritious leafy kale perfect for salads and smoothies.,550e8400-e29b-41d4-a716-446655440004,2.79,lb
O3P4Q5R6,Mango,Sweet tropical mangoes with rich flavor.,550e8400-e29b-41d4-a716-446655440004,3.99,each
S7T8U9V0,Potato,Versatile potatoes for baking mashing or roasting.,550e8400-e29b-41d4-a716-446655440004,1.99,lb
A5B6C7D8,Purple Onion,Flavorful purple onions to enhance any savory dish.,550e8400-e29b-41d4-a716-446655440005,1.29,lb
I3J4K5L6,Radish,Spicy radishes add crunch to salads and tacos.,550e8400-e29b-41d4-a716-446655440005,1.49,lb
Q1R2S3T4,Shallot,Mild shallots perfect for gourmet cooking.,550e8400-e29b-41d4-a716-446655440005,2.99,lb
Y9Z0A1B2,Tomato,Juicy red tomatoes perfect for salads and sandwiches.,550e8400-e29b-41d4-a716-446655440005,2.49,lb
